province,model_slug,popularity
江西,audi-a3,B
山东,audi-a3,B
河南,audi-a3,B
湖北,audi-a3,B
湖南,audi-a3,B
广东,audi-a3,B
广西,audi-a3,B
海南,audi-a3,B
四川,audi-a3,B
贵州,audi-a3,B
云南,audi-a3,B
西藏,audi-a3,C
陕西,audi-a3,B
甘肃,audi-a3,B
宁夏,audi-a3,B
青海,audi-a3,B
新疆,audi-a3,B
香港,audi-a3,C
澳门,audi-a3,C
台湾,audi-a3,C
北京,audi-a4,A
上海,audi-a4,A
天津,audi-a4,A
重庆,audi-a4,A
河北,audi-a4,B
山西,audi-a4,B
内蒙古,audi-a4,B
辽宁,audi-a4,A
吉林,audi-a4,A
黑龙江,audi-a4,B
江苏,audi-a4,A
浙江,audi-a4,A
安徽,audi-a4,B
福建,audi-a4,B
江西,audi-a4,B
山东,audi-a4,B
河南,audi-a4,B
湖北,audi-a4,B
湖南,audi-a4,B
广东,audi-a4,B
广西,audi-a4,B
海南,audi-a4,B
四川,audi-a4,B
贵州,audi-a4,B
云南,audi-a4,B
西藏,audi-a4,B
陕西,audi-a4,B
甘肃,audi-a4,B
宁夏,audi-a4,B
青海,audi-a4,A
新疆,audi-a4,B
香港,audi-a4,A
澳门,audi-a4,C
台湾,audi-a4,C
北京,audi-a6l,A
上海,audi-a6l,A
天津,audi-a6l,A
重庆,audi-a6l,A
河北,audi-a6l,A
山西,audi-a6l,A
内蒙古,audi-a6l,A
辽宁,audi-a6l,A
吉林,audi-a6l,A
黑龙江,audi-a6l,A
江苏,audi-a6l,A
浙江,audi-a6l,A
安徽,audi-a6l,A
福建,audi-a6l,A
江西,audi-a6l,A
山东,audi-a6l,A
河南,audi-a6l,A
湖北,audi-a6l,A
湖南,audi-a6l,A
广东,audi-a6l,A
广西,audi-a6l,A
海南,audi-a6l,A
四川,audi-a6l,A
贵州,audi-a6l,A
云南,audi-a6l,A
西藏,audi-a6l,A
陕西,audi-a6l,A
甘肃,audi-a6l,A
宁夏,audi-a6l,A
青海,audi-a6l,A
新疆,audi-a6l,A
香港,audi-a6l,C
澳门,audi-a6l,A
台湾,audi-a6l,C
北京,audi-a4l,A
上海,audi-a4l,A
天津,audi-a4l,A
重庆,audi-a4l,A
河北,audi-a4l,A
山西,audi-a4l,A
内蒙古,audi-a4l,A
辽宁,audi-a4l,A
吉林,audi-a4l,A
黑龙江,audi-a4l,A
江苏,audi-a4l,A
浙江,audi-a4l,A
安徽,audi-a4l,A
福建,audi-a4l,A
江西,audi-a4l,A
山东,audi-a4l,A
河南,audi-a4l,A
湖北,audi-a4l,A
湖南,audi-a4l,A
广东,audi-a4l,A
广西,audi-a4l,A
海南,audi-a4l,A
四川,audi-a4l,A
贵州,audi-a4l,A
云南,audi-a4l,A
西藏,audi-a4l,A
陕西,audi-a4l,A
甘肃,audi-a4l,A
宁夏,audi-a4l,A
青海,audi-a4l,A
新疆,audi-a4l,A
香港,audi-a4l,C
澳门,audi-a4l,C
台湾,audi-a4l,C
北京,audi-q5-jinkou,B
上海,audi-q5-jinkou,B
天津,audi-q5-jinkou,B
重庆,audi-q5-jinkou,B
河北,audi-q5-jinkou,B
山西,audi-q5-jinkou,B
内蒙古,audi-q5-jinkou,B
辽宁,audi-q5-jinkou,B
吉林,audi-q5-jinkou,B
黑龙江,audi-q5-jinkou,B
江苏,audi-q5-jinkou,B
浙江,audi-q5-jinkou,B
安徽,audi-q5-jinkou,B
福建,audi-q5-jinkou,B
江西,audi-q5-jinkou,B
山东,audi-q5-jinkou,B
河南,audi-q5-jinkou,B
湖北,audi-q5-jinkou,B
湖南,audi-q5-jinkou,B
广东,audi-q5-jinkou,B
广西,audi-q5-jinkou,B
海南,audi-q5-jinkou,B
四川,audi-q5-jinkou,B
贵州,audi-q5-jinkou,B
云南,audi-q5-jinkou,B
西藏,audi-q5-jinkou,B
陕西,audi-q5-jinkou,B
甘肃,audi-q5-jinkou,B
宁夏,audi-q5-jinkou,B
青海,audi-q5-jinkou,B
新疆,audi-q5-jinkou,B
香港,audi-q5-jinkou,C
澳门,audi-q5-jinkou,C
台湾,audi-q5-jinkou,C
北京,audi-q5,A
上海,audi-q5,A
天津,audi-q5,A
重庆,audi-q5,A
河北,audi-q5,A
山西,audi-q5,A
内蒙古,audi-q5,A
辽宁,audi-q5,A
吉林,audi-q5,A
黑龙江,audi-q5,A
江苏,audi-q5,A
浙江,audi-q5,A
安徽,audi-q5,A
福建,audi-q5,A
江西,audi-q5,A
山东,audi-q5,A
河南,audi-q5,A
湖北,audi-q5,A
湖南,audi-q5,A
广东,audi-q5,A
广西,audi-q5,A
海南,audi-q5,A
四川,audi-q5,A
贵州,audi-q5,A
云南,audi-q5,A
西藏,audi-q5,A
陕西,audi-q5,A
甘肃,audi-q5,A
宁夏,audi-q5,A
青海,audi-q5,A
新疆,audi-q5,A
香港,audi-q5,C
澳门,audi-q5,A
台湾,audi-q5,C
北京,audi-a1,B
上海,audi-a1,B
天津,audi-a1,B
重庆,audi-a1,B
河北,audi-a1,B
山西,audi-a1,B
内蒙古,audi-a1,B
辽宁,audi-a1,B
吉林,audi-a1,B
黑龙江,audi-a1,B
江苏,audi-a1,B
浙江,audi-a1,B
安徽,audi-a1,B
福建,audi-a1,B
江西,audi-a1,B
山东,audi-a1,B
河南,audi-a1,B
湖北,audi-a1,B
湖南,audi-a1,B
广东,audi-a1,B
广西,audi-a1,B
海南,audi-a1,B
四川,audi-a1,B
贵州,audi-a1,B
云南,audi-a1,B
西藏,audi-a1,B
陕西,audi-a1,B
甘肃,audi-a1,B
宁夏,audi-a1,B
青海,audi-a1,B
新疆,audi-a1,B
香港,audi-a1,C
澳门,audi-a1,C
台湾,audi-a1,C
北京,audi-a7,B
上海,audi-a7,B
天津,audi-a7,B
重庆,audi-a7,B
河北,audi-a7,B
山西,audi-a7,B
内蒙古,audi-a7,B
辽宁,audi-a7,B
吉林,audi-a7,B
黑龙江,audi-a7,B
江苏,audi-a7,B
浙江,audi-a7,B
安徽,audi-a7,B
福建,audi-a7,B
江西,audi-a7,B
山东,audi-a7,B
河南,audi-a7,B
湖北,audi-a7,B
湖南,audi-a7,B
广东,audi-a7,B
广西,audi-a7,B
海南,audi-a7,B
四川,audi-a7,B
贵州,audi-a7,B
云南,audi-a7,B
西藏,audi-a7,B
陕西,audi-a7,B
甘肃,audi-a7,B
宁夏,audi-a7,B
青海,audi-a7,B
新疆,audi-a7,B
香港,audi-a7,C
澳门,audi-a7,C
台湾,audi-a7,C
北京,alfaromeo-156,C
上海,alfaromeo-156,C
天津,alfaromeo-156,B
重庆,alfaromeo-156,C
河北,alfaromeo-156,C
山西,alfaromeo-156,C
内蒙古,alfaromeo-156,C
辽宁,alfaromeo-156,C
吉林,alfaromeo-156,C
黑龙江,alfaromeo-156,C
江苏,alfaromeo-156,C
浙江,alfaromeo-156,C
安徽,alfaromeo-156,C
福建,alfaromeo-156,C
江西,alfaromeo-156,C
山东,alfaromeo-156,C
河南,alfaromeo-156,C
湖北,alfaromeo-156,C
湖南,alfaromeo-156,B
广东,alfaromeo-156,C
广西,alfaromeo-156,C
海南,alfaromeo-156,C
四川,alfaromeo-156,C
贵州,alfaromeo-156,C
云南,alfaromeo-156,C
西藏,alfaromeo-156,C
陕西,alfaromeo-156,C
甘肃,alfaromeo-156,C
宁夏,alfaromeo-156,C
青海,alfaromeo-156,C
新疆,alfaromeo-156,C
香港,alfaromeo-156,C
澳门,alfaromeo-156,C
台湾,alfaromeo-156,C
北京,astonmartin-v12,C
上海,astonmartin-v12,C
天津,astonmartin-v12,C
重庆,astonmartin-v12,C
河北,astonmartin-v12,C
山西,astonmartin-v12,C
内蒙古,astonmartin-v12,C
辽宁,astonmartin-v12,C
吉林,astonmartin-v12,C
黑龙江,astonmartin-v12,C
江苏,astonmartin-v12,C
浙江,astonmartin-v12,C
安徽,astonmartin-v12,C
福建,astonmartin-v12,C
江西,astonmartin-v12,C
山东,astonmartin-v12,C
河南,astonmartin-v12,C
湖北,astonmartin-v12,C
湖南,astonmartin-v12,C
广东,astonmartin-v12,C
广西,astonmartin-v12,C
海南,astonmartin-v12,C
四川,astonmartin-v12,C
贵州,astonmartin-v12,C
云南,astonmartin-v12,C
西藏,astonmartin-v12,C
陕西,astonmartin-v12,C
甘肃,astonmartin-v12,C
宁夏,astonmartin-v12,C
青海,astonmartin-v12,C
新疆,astonmartin-v12,C
香港,astonmartin-v12,C
澳门,astonmartin-v12,C
台湾,astonmartin-v12,C
北京,astonmartin-db9,C
上海,astonmartin-db9,B
天津,astonmartin-db9,C
重庆,astonmartin-db9,C
河北,astonmartin-db9,C
山西,astonmartin-db9,C
内蒙古,astonmartin-db9,C
辽宁,astonmartin-db9,C
吉林,astonmartin-db9,C
黑龙江,astonmartin-db9,C
江苏,astonmartin-db9,C
浙江,astonmartin-db9,B
安徽,astonmartin-db9,C
福建,astonmartin-db9,C
江西,astonmartin-db9,C
山东,astonmartin-db9,C
河南,astonmartin-db9,C
湖北,astonmartin-db9,C
湖南,astonmartin-db9,C
广东,astonmartin-db9,C
广西,astonmartin-db9,C
海南,astonmartin-db9,C
四川,astonmartin-db9,C
贵州,astonmartin-db9,C
云南,astonmartin-db9,B
西藏,astonmartin-db9,C
陕西,astonmartin-db9,C
甘肃,astonmartin-db9,C
宁夏,astonmartin-db9,C
青海,astonmartin-db9,C
新疆,astonmartin-db9,C
香港,astonmartin-db9,C
澳门,astonmartin-db9,C
台湾,astonmartin-db9,C
北京,astonmartin-dbs,C
上海,astonmartin-dbs,C
天津,astonmartin-dbs,C
重庆,astonmartin-dbs,C
河北,astonmartin-dbs,C
山西,astonmartin-dbs,C
内蒙古,astonmartin-dbs,C
辽宁,astonmartin-dbs,C
吉林,astonmartin-dbs,C
黑龙江,astonmartin-dbs,C
江苏,astonmartin-dbs,C
浙江,astonmartin-dbs,C
安徽,astonmartin-dbs,C
福建,astonmartin-dbs,C
江西,astonmartin-dbs,C
山东,astonmartin-dbs,C
河南,astonmartin-dbs,C
湖北,astonmartin-dbs,C
湖南,astonmartin-dbs,C
广东,astonmartin-dbs,C
广西,astonmartin-dbs,C
海南,astonmartin-dbs,C
四川,astonmartin-dbs,C
贵州,astonmartin-dbs,C
云南,astonmartin-dbs,C
西藏,astonmartin-dbs,C
陕西,astonmartin-dbs,C
甘肃,astonmartin-dbs,C
宁夏,astonmartin-dbs,C
青海,astonmartin-dbs,C
新疆,astonmartin-dbs,C
香港,astonmartin-dbs,C
澳门,astonmartin-dbs,C
台湾,astonmartin-dbs,C
北京,astonmartin-v8,C
上海,astonmartin-v8,B
天津,astonmartin-v8,C
重庆,astonmartin-v8,C
河北,astonmartin-v8,C
山西,astonmartin-v8,C
内蒙古,astonmartin-v8,C
辽宁,astonmartin-v8,C
吉林,astonmartin-v8,C
黑龙江,astonmartin-v8,C
江苏,astonmartin-v8,C
浙江,astonmartin-v8,B
安徽,astonmartin-v8,C
福建,astonmartin-v8,C
江西,astonmartin-v8,C
山东,astonmartin-v8,C
河南,astonmartin-v8,C
湖北,astonmartin-v8,C
湖南,astonmartin-v8,C
广东,astonmartin-v8,C
广西,astonmartin-v8,C
海南,astonmartin-v8,C
四川,astonmartin-v8,C
贵州,astonmartin-v8,C
云南,astonmartin-v8,C
西藏,astonmartin-v8,C
陕西,astonmartin-v8,C
甘肃,astonmartin-v8,C
宁夏,astonmartin-v8,C
青海,astonmartin-v8,C
新疆,astonmartin-v8,C
香港,astonmartin-v8,C
澳门,astonmartin-v8,C
台湾,astonmartin-v8,C
北京,astonmartin-rapide,B
上海,astonmartin-rapide,B
天津,astonmartin-rapide,C
重庆,astonmartin-rapide,C
河北,astonmartin-rapide,C
山西,astonmartin-rapide,C
内蒙古,astonmartin-rapide,C
辽宁,astonmartin-rapide,C
吉林,astonmartin-rapide,C
黑龙江,astonmartin-rapide,C
江苏,astonmartin-rapide,C
浙江,astonmartin-rapide,B
安徽,astonmartin-rapide,C
福建,astonmartin-rapide,C
江西,astonmartin-rapide,C
山东,astonmartin-rapide,C
河南,astonmartin-rapide,C
湖北,astonmartin-rapide,C
湖南,astonmartin-rapide,C
广东,astonmartin-rapide,C
广西,astonmartin-rapide,C
海南,astonmartin-rapide,C
四川,astonmartin-rapide,C
贵州,astonmartin-rapide,C
云南,astonmartin-rapide,C
西藏,astonmartin-rapide,C
陕西,astonmartin-rapide,C
甘肃,astonmartin-rapide,C
宁夏,astonmartin-rapide,C
青海,astonmartin-rapide,C
新疆,astonmartin-rapide,C
香港,astonmartin-rapide,C
澳门,astonmartin-rapide,C
台湾,astonmartin-rapide,C
北京,benz-clk,B
上海,benz-clk,B
天津,benz-clk,B
重庆,benz-clk,B
河北,benz-clk,C
山西,benz-clk,C
内蒙古,benz-clk,B
辽宁,benz-clk,B
吉林,benz-clk,B
黑龙江,benz-clk,B
江苏,benz-clk,B
浙江,benz-clk,B
安徽,benz-clk,B
福建,benz-clk,B
江西,benz-clk,C
山东,benz-clk,B
河南,benz-clk,C
湖北,benz-clk,B
湖南,benz-clk,B
广东,benz-clk,B
广西,benz-clk,B
海南,benz-clk,B
四川,benz-clk,B
贵州,benz-clk,C
云南,benz-clk,B
西藏,benz-clk,C
陕西,benz-clk,C
甘肃,benz-clk,B
宁夏,benz-clk,B
青海,benz-clk,C
新疆,benz-clk,C
香港,benz-clk,C
澳门,benz-clk,C
台湾,benz-clk,C
北京,benz-cls,B
上海,benz-cls,B
天津,benz-cls,B
重庆,benz-cls,B
河北,benz-cls,B
山西,benz-cls,B
内蒙古,benz-cls,B
辽宁,benz-cls,B
吉林,benz-cls,B
黑龙江,benz-cls,B
江苏,benz-cls,B
浙江,benz-cls,B
安徽,benz-cls,B
福建,benz-cls,B
江西,benz-cls,B
山东,benz-cls,B
河南,benz-cls,B
湖北,benz-cls,B
湖南,benz-cls,B
广东,benz-cls,B
广西,benz-cls,B
海南,benz-cls,B
四川,benz-cls,B
贵州,benz-cls,B
云南,benz-cls,B
西藏,benz-cls,B
陕西,benz-cls,B
甘肃,benz-cls,C
宁夏,benz-cls,B
青海,benz-cls,C
新疆,benz-cls,B
香港,benz-cls,C
澳门,benz-cls,C
台湾,benz-cls,C
北京,benz-cl,C
上海,benz-cl,C
天津,benz-cl,B
重庆,benz-cl,C
河北,benz-cl,C
山西,benz-cl,C
内蒙古,benz-cl,C
辽宁,benz-cl,C
吉林,benz-cl,C
黑龙江,benz-cl,C
江苏,benz-cl,C
浙江,benz-cl,C
安徽,benz-cl,C
福建,benz-cl,C
江西,benz-cl,C
山东,benz-cl,C
河南,benz-cl,C
湖北,benz-cl,C
湖南,benz-cl,C
广东,benz-cl,C
广西,benz-cl,C
海南,benz-cl,C
四川,benz-cl,C
贵州,benz-cl,C
云南,benz-cl,C
西藏,benz-cl,C
陕西,benz-cl,C
甘肃,benz-cl,C
宁夏,benz-cl,B
青海,benz-cl,C
新疆,benz-cl,C
香港,benz-cl,C
澳门,benz-cl,C
台湾,benz-cl,C
北京,benz-gl,B
上海,benz-gl,B
天津,benz-gl,B
重庆,benz-gl,B
河北,benz-gl,B
山西,benz-gl,B
内蒙古,benz-gl,B
辽宁,benz-gl,B
吉林,benz-gl,B
黑龙江,benz-gl,B
江苏,benz-gl,B
浙江,benz-gl,B
安徽,benz-gl,B
福建,benz-gl,B
江西,benz-gl,B
山东,benz-gl,B
河南,benz-gl,B
湖北,benz-gl,B
湖南,benz-gl,B
广东,benz-gl,B
广西,benz-gl,B
海南,benz-gl,B
四川,benz-gl,B
贵州,benz-gl,B
云南,benz-gl,B
西藏,benz-gl,A
陕西,benz-gl,B
甘肃,benz-gl,B
宁夏,benz-gl,B
青海,benz-gl,B
新疆,benz-gl,B
香港,benz-gl,A
澳门,benz-gl,C
台湾,benz-gl,C
北京,benz-glk,A
上海,benz-glk,A
天津,benz-glk,B
重庆,benz-glk,A
河北,benz-glk,B
山西,benz-glk,B
内蒙古,benz-glk,B
辽宁,benz-glk,B
吉林,benz-glk,B
黑龙江,benz-glk,B
江苏,benz-glk,A
浙江,benz-glk,A
安徽,benz-glk,A
福建,benz-glk,A
江西,benz-glk,B
山东,benz-glk,B
河南,benz-glk,A
湖北,benz-glk,B
湖南,benz-glk,A
广东,benz-glk,B
广西,benz-glk,B
海南,benz-glk,B
四川,benz-glk,A
贵州,benz-glk,A
云南,benz-glk,A
西藏,benz-glk,B
陕西,benz-glk,A
甘肃,benz-glk,B
宁夏,benz-glk,B
青海,benz-glk,B
新疆,benz-glk,A
香港,benz-glk,C
澳门,benz-glk,C
台湾,benz-glk,C
北京,benz-sprinter,B
上海,benz-sprinter,C
天津,benz-sprinter,C
重庆,benz-sprinter,C
河北,benz-sprinter,C
山西,benz-sprinter,B
内蒙古,benz-sprinter,C
辽宁,benz-sprinter,B
吉林,benz-sprinter,C
黑龙江,benz-sprinter,B
江苏,benz-sprinter,C
浙江,benz-sprinter,C
安徽,benz-sprinter,C
福建,benz-sprinter,C
江西,benz-sprinter,C
山东,benz-sprinter,C
河南,benz-sprinter,B
湖北,benz-sprinter,C
湖南,benz-sprinter,C
广东,benz-sprinter,C
广西,benz-sprinter,C
海南,benz-sprinter,B
四川,benz-sprinter,B
贵州,benz-sprinter,C
云南,benz-sprinter,C
西藏,benz-sprinter,C
陕西,benz-sprinter,C
甘肃,benz-sprinter,B
宁夏,benz-sprinter,C
青海,benz-sprinter,C
新疆,benz-sprinter,C
香港,benz-sprinter,C
澳门,benz-sprinter,C
台湾,benz-sprinter,C
北京,benz-ml,A
上海,benz-ml,A
天津,benz-ml,A
重庆,benz-ml,A
河北,benz-ml,B
山西,benz-ml,B
内蒙古,benz-ml,B
辽宁,benz-ml,B
吉林,benz-ml,B
黑龙江,benz-ml,B
江苏,benz-ml,B
浙江,benz-ml,A
安徽,benz-ml,B
福建,benz-ml,B
江西,benz-ml,B
山东,benz-ml,B
河南,benz-ml,B
湖北,benz-ml,B
湖南,benz-ml,B
广东,benz-ml,B
广西,benz-ml,B
海南,benz-ml,B
四川,benz-ml,A
贵州,benz-ml,B
云南,benz-ml,A
西藏,benz-ml,A
陕西,benz-ml,A
甘肃,benz-ml,B
宁夏,benz-ml,B
青海,benz-ml,A
新疆,benz-ml,B
香港,benz-ml,C
澳门,benz-ml,C
台湾,benz-ml,C
北京,benz-r,A
上海,benz-r,A
天津,benz-r,B
重庆,benz-r,B
河北,benz-r,B
山西,benz-r,B
内蒙古,benz-r,B
辽宁,benz-r,B
吉林,benz-r,B
黑龙江,benz-r,B
江苏,benz-r,B
浙江,benz-r,B
安徽,benz-r,B
福建,benz-r,B
江西,benz-r,B
山东,benz-r,B
河南,benz-r,B
湖北,benz-r,B
湖南,benz-r,B
广东,benz-r,B
广西,benz-r,B
海南,benz-r,B
四川,benz-r,B
贵州,benz-r,B
云南,benz-r,B
西藏,benz-r,C
陕西,benz-r,B
甘肃,benz-r,B
宁夏,benz-r,B
青海,benz-r,B
新疆,benz-r,B
香港,benz-r,C
澳门,benz-r,C
台湾,benz-r,C
北京,benz-s,A
上海,benz-s,A
天津,benz-s,A
重庆,benz-s,A
河北,benz-s,A
山西,benz-s,A
内蒙古,benz-s,A
辽宁,benz-s,A
吉林,benz-s,A
黑龙江,benz-s,A
江苏,benz-s,A
浙江,benz-s,A
安徽,benz-s,A
福建,benz-s,A
江西,benz-s,B
山东,benz-s,A
河南,benz-s,A
湖北,benz-s,B
湖南,benz-s,A
广东,benz-s,A
广西,benz-s,A
海南,benz-s,A
四川,benz-s,A
贵州,benz-s,A
云南,benz-s,A
西藏,benz-s,B
陕西,benz-s,A
甘肃,benz-s,B
宁夏,benz-s,B
青海,benz-s,B
新疆,benz-s,B
香港,benz-s,C
澳门,benz-s,C
台湾,benz-s,C
北京,benz-sl,B
上海,benz-sl,B
天津,benz-sl,B
重庆,benz-sl,B
河北,benz-sl,B
山西,benz-sl,B
内蒙古,benz-sl,C
辽宁,benz-sl,B
吉林,benz-sl,B
黑龙江,benz-sl,C
江苏,benz-sl,B
浙江,benz-sl,B
安徽,benz-sl,B
福建,benz-sl,B
江西,benz-sl,C
山东,benz-sl,B
河南,benz-sl,B
湖北,benz-sl,B
湖南,benz-sl,B
